Dropout1,Dropout2,Learning Rate,Batch Size,Epochs,Test Accuracy
0.25,0.5,0.01,16,10,0.9138000011444092
0.25,0.5,0.01,16,13,0.9121999740600586
0.25,0.5,0.01,16,15,0.9121999740600586
0.25,0.5,0.005,16,10,0.9138000011444092
0.25,0.5,0.005,16,13,0.9139000177383423
0.25,0.5,0.005,16,15,0.9214000105857849
0.25,0.6,0.01,16,10,0.9106000065803528
0.25,0.6,0.01,16,13,0.9089999794960022
0.25,0.6,0.01,16,15,0.9115999937057495
0.25,0.6,0.005,16,10,0.9187999963760376
0.25,0.6,0.005,16,13,0.9147999882698059
0.25,0.6,0.005,16,15,0.9192000031471252
0.3,0.5,0.01,16,10,0.9110000133514404
0.3,0.5,0.01,16,13,0.9100000262260437
0.3,0.5,0.01,16,15,0.9140999913215637
0.3,0.5,0.005,16,10,0.9154000282287598
0.3,0.5,0.005,16,13,0.9236999750137329
0.3,0.5,0.005,16,15,0.9222999811172485
0.3,0.6,0.01,16,10,0.9135000109672546
0.3,0.6,0.01,16,13,0.9045000076293945
0.3,0.6,0.01,16,15,0.9154000282287598
0.3,0.6,0.005,16,10,0.9136999845504761
0.3,0.6,0.005,16,13,0.9176999926567078
0.3,0.6,0.005,16,15,0.9214000105857849
